what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100529-0735,"org.eclipse.ecf.identity",1355762530312
started,bundle,org.eclipse.ecf,3.1.0.v20100529-0735,"org.eclipse.ecf",1355762530968
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer.httpclient",1355762531343
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100529-0735,"org.eclipse.ecf.provider.filetransfer",1355762531546
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1355762531687
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1355762532000
started,bundle,org.eclipse.equinox.p2.director,2.0.0.v20100525,"org.eclipse.equinox.p2.director",1355762534812
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1355762535031
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1355762541953
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1355764914109
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1355764915750
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1355764915890
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1355764917093
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1355764924406
opened,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1355764937125
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1355764937531
started,bundle,org.eclipse.jst.jsf.common.ui,1.2.0.v20100329,"org.eclipse.jst.jsf.common.ui",1355764937656
started,bundle,org.eclipse.jst.pagedesigner,1.3.0.v20100510-p001,"org.eclipse.jst.pagedesigner",1355764937687
activated,view,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.views.ResourceNavigator",1355764937875
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.views.showView",1355764938140
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1355764945937
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1355764961171
activated,view,org.eclipse.ui.navigator.resources,3.4.200.I20100601-0800,"org.eclipse.ui.navigator.ProjectExplorer",1355764961328
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1355764962828
